School.Year,District.Code,District,School.Code,Organization,Assessment.Name,ContentArea,Race,Gender,Grade,SpecialDemo,Geography,SubGroup,RowStatus,Tested,Proficient,PctProficient,ScaleScoreAvg
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,4th Grade,Non-EL Students,All Students,African American/Female/4th Grade/Non-EL Students,REPORTED,51,7,13.73,2402.14
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,4th Grade,Non-Foster Care,All Students,African American/Female/4th Grade/Non-Foster Care,REPORTED,54,7,12.96,2401.7
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,4th Grade,Non-Homeless,All Students,African American/Female/4th Grade/Non-Homeless,REPORTED,53,7,13.21,2404.09
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,4th Grade,Non Low-Income,All Students,African American/Female/4th Grade/Non Low-Income,REPORTED,39,6,15.38,2399.49
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,4th Grade,Non-SWD,All Students,African American/Female/4th Grade/Non-SWD,REPORTED,46,7,15.22,2416.54
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,7th Grade,Non-Foster Care,All Students,African American/Female/7th Grade/Non-Foster Care,REPORTED,31,5,16.13,2497.06
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,7th Grade,Non-Homeless,All Students,African American/Female/7th Grade/Non-Homeless,REPORTED,30,5,16.67,2501.33
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Female,7th Grade,Non-SWD,All Students,African American/Female/7th Grade/Non-SWD,REPORTED,27,5,18.52,2507
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,3rd Grade,Non-EL Students,All Students,African American/Male/3rd Grade/Non-EL Students,REPORTED,45,9,20,2364.07
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,3rd Grade,Non-Foster Care,All Students,African American/Male/3rd Grade/Non-Foster Care,REPORTED,50,9,18,2360.24
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,3rd Grade,Non-Homeless,All Students,African American/Male/3rd Grade/Non-Homeless,REPORTED,47,9,19.15,2370.38
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,3rd Grade,Non Low-Income,All Students,African American/Male/3rd Grade/Non Low-Income,REPORTED,30,8,26.67,2379.4
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,3rd Grade,Non-SWD,All Students,African American/Male/3rd Grade/Non-SWD,REPORTED,37,9,24.32,2385.57
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,7th Grade,Non-EL Students,All Students,African American/Male/7th Grade/Non-EL Students,REPORTED,36,10,27.78,2481.81
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,7th Grade,Non-Foster Care,All Students,African American/Male/7th Grade/Non-Foster Care,REPORTED,40,12,30,2483.72
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,7th Grade,Non-Homeless,All Students,African American/Male/7th Grade/Non-Homeless,REPORTED,39,12,30.77,2484.28
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,7th Grade,Non Low-Income,All Students,African American/Male/7th Grade/Non Low-Income,REPORTED,27,10,37.04,2509.04
2021,10,Caesar Rodney School District,0,Caesar Rodney School District,Smarter Balanced Summative Assessment,MATH,African American,Male,7th Grade,Non-SWD,All Students,African American/Male/7th Grade/Non-SWD,REPORTED,33,12,36.36,2513.85
